Max_Pos,Ranking,Trades,Win_Rate%,CAGR%,Max_DD%,Calmar
25,Vol_Ratio,169,56.21,7.59,-3.04,2.5
25,ROC_20,173,54.34,6.62,-2.79,2.37
25,Chronological,168,52.98,6.34,-3.06,2.07
20,ROC_20,150,51.33,6.23,-3.43,1.81
20,Chronological,146,50.0,6.3,-3.71,1.7
20,Vol_Ratio,148,51.35,6.26,-3.8,1.65
15,Vol_Ratio,123,52.03,6.56,-4.54,1.45
15,ROC_20,129,47.29,5.97,-4.38,1.36
15,Chronological,120,45.83,4.94,-5.08,0.97
10,Vol_Ratio,95,49.47,6.02,-6.28,0.96
10,ROC_20,98,42.86,3.85,-5.96,0.64
10,Chronological,94,39.36,2.4,-7.25,0.33
